,Country Name,Country Code,Indicator Name,Indicator Code,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
0,Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,
1,Africa Eastern and Southern,AFE,CO2 emissions (kt),EN.ATM.CO2E.KT,355920.0,393150.0,404210.0071273748,426379.9968287353,457599.99126940983,458459.9946290251,465440.00816345226,486179.99699711835,519309.9901229143,501940.0114566086,529639.997445047,521760.0098624825,543439.9993047119,565430.0129637119,587699.9924257395,574029.9949869517,578510.0156962876,587509.9923461673,590040.0052815679,603030.0161540512,
2,Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,760.0,730.0,1029.99997138977,1220.00002861023,1029.99997138977,1549.99995231628,1759.99999046326,1769.99998092651,3559.99994277954,4880.00011444092,7110.0001335144,8930.00030517578,8079.99992370605,5989.99977111816,4880.00011444092,5949.99980926514,5300.00019073486,4780.00020980835,6070.00017166138,6079.99992370605,
3,Africa Western and Central,AFW,CO2 emissions (kt),EN.ATM.CO2E.KT,141740.0,149460.0,141659.9980294704,150990.00002443788,150990.00266194344,155280.00096976754,148879.99720871449,142610.0024282932,151339.99972045422,146719.99755501744,165489.99771475798,171780.00001609328,177939.99575078484,193299.99756067994,201680.0018846992,198410.00249981834,206030.00129759338,204740.00045657152,211719.99929845292,220740.00002443805,
4,Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,16200.0,15960.0,15689.9995803833,16760.0002288818,17450.0007629395,15810.0004196167,16559.9994659424,16969.9993133545,19280.0006866455,21149.9996185303,22799.9992370605,23870.0008392334,23870.0008392334,26959.9990844727,29629.9991607666,31649.9996185303,29760.0002288818,24250.0,23959.9990844727,25209.9990844727,
5,Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,3170.0,3230.0,3759.99999046326,4070.00017166138,4250.0,4030.00020980835,4010.00022888184,4139.9998664856,4079.99992370605,4219.99979019165,4449.99980926514,4849.99990463257,4360.0001335144,4440.00005722046,4820.00017166138,4619.99988555908,4480.00001907349,5139.9998664856,5110.0001335144,4829.99992370605,
6,Andorra,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,520.0,520.0,529.999971389771,529.999971389771,560.000002384186,579.999983310699,550.000011920929,540.000021457672,540.000021457672,519.999980926514,519.999980926514,490.000009536743,490.000009536743,479.999989271164,460.00000834465,469.999998807907,469.999998807907,469.999998807907,490.000009536743,500.0,
7,Arab World,ARB,CO2 emissions (kt),EN.ATM.CO2E.KT,939191.7284341395,991061.7136930375,1024786.7694145488,1055755.8591039293,1112584.5441357924,1188503.6207403275,1251799.6594701977,1303116.441285797,1408053.3504428077,1455346.8682557466,1541776.7262743185,1574878.1651852506,1683788.024309237,1713791.5569902025,1771947.9081706437,1818104.8434146387,1838603.3674572972,1858498.45151531,1836883.4359410293,1886218.7969582302,
8,United Arab Emirates,ARE,CO2 emissions (kt),EN.ATM.CO2E.KT,84730.0,97200.0,99150.0015258789,103819.999694824,110010.00213623,116459.999084473,121559.997558594,131830.001831055,156050.003051758,157020.004272461,162789.993286133,165600.006103516,175589.996337891,184470.001220703,184759.994506836,195240.005493164,201080.001831055,197039.993286133,177119.995117188,188860.000610352,
9,Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,132270.0,125260.0,117470.001220703,127660.003662109,141380.004882813,145990.005493164,154899.993896484,162809.997558594,167229.995727539,156570.007324219,167220.001220703,176639.999389648,177960.006713867,183250.0,179600.006103516,185550.003051758,183160.003662109,179320.007324219,176899.993896484,168100.006103516,
10,Armenia,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,3560.0,3600.0,3119.99988555908,3500.0,3759.99999046326,4460.00003814697,4489.99977111816,5199.99980926514,5690.00005722046,4510.00022888184,4340.00015258789,4940.00005722046,5719.99979019165,5500.0,5480.00001907349,5340.00015258789,5070.00017166138,5369.99988555908,5710.00003814697,6170.00007629395,
11,American Samoa,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,
12,Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,330.0,350.0,389.999985694885,409.999996423721,400.000005960464,409.999996423721,439.999997615814,460.00000834465,479.999989271164,1389.99998569489,490.000009536743,540.000021457672,699.999988079071,469.999998807907,479.999989271164,490.000009536743,500.0,500.0,509.999990463257,519.999980926514,
13,Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,339450.0,345640.0,353369.995117188,352579.986572266,365809.997558594,370089.996337891,375489.990234375,385750.0,388940.002441406,395290.008544922,387540.008544922,386380.004882813,386970.001220703,380279.998779297,371630.004882813,377799.987792969,384989.990234375,389160.003662109,387070.007324219,386529.998779297,
14,Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,63530.0,67910.0,69370.002746582,74459.9990844727,75800.0030517578,76239.9978637695,74099.9984741211,71239.9978637695,70730.0033569336,64419.9981689453,69959.9990844727,68269.9966430664,65110.0006103516,65750.0,62049.9992370605,63240.0016784668,63680.0003051758,65860.0006103516,63060.001373291,64769.9966430664,
