,Country Name,Country Code,Indicator Name,Indicator Code,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
1,Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1873184357.5418994,1896648044.6927373,1962011173.1843574,2044134078.2122905,2254748603.3519554,2359776536.312849,2469832402.234637,2677653631.284916,2843016759.7765365,2553631284.916201,2453631284.916201,2637988826.8156424,2615083798.8826814,2727932960.8938546,2791061452.5139666,2963128491.6201115,2983798882.6815643,3092178770.9497204,3202234636.871508,3310055865.9217877,2496648044.6927376
2,Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,283925424524.95,258818573322.58594,264869812959.28885,352658503930.8697,438833793854.25824,512211130671.03467,575921416503.7296,661179291210.0029,708286928848.1107,719216656140.9026,860478348236.4636,964418457187.7911,973043454994.6335,983937046710.8934,1003678868706.9747,924252536256.5028,882355055412.7589,1020647235171.2168,991022252916.7018,997534042075.1869,921645942921.8882
3,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,,,4055179566.349814,4515558808.109944,5226778808.892088,6209137624.771814,6971285594.680126,9747879531.86311,10109305182.951962,12416161048.841185,15856678596.148008,17805113118.89377,19907317065.66665,20146404996.223026,20497126770.133526,19134211763.859024,18116562464.90881,18753469630.258575,18053228578.887756,18799450742.782288,20116137325.820553
4,Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,140410259302.46512,148012829262.27914,176938027370.01523,204644531317.32336,254092555393.7972,310557534109.2355,393305207803.0638,461791382953.67126,566480827442.1455,507043593426.2463,591595778367.1329,670983030296.122,727570384034.4512,820792700049.5056,864990453538.5177,760734474152.243,690546384903.2946,683748746978.1123,741689925173.4264,794543045900.1097,784445725634.7864
5,Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,9129594818.607492,8936063723.201212,15285594828.417973,17812704825.195724,23552047248.430122,36970918699.25229,52381006892.03801,65266452081.38596,88538610805.32137,70307166934.33105,81699556136.66426,109436531427.06909,124998158417.86142,133401594460.92207,137244418012.55327,87219290028.7263,49840494025.516556,68972763787.15466,77792940077.11928,69309104806.63107,53619071176.13901
6,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,3480355258.0412197,3922100793.5403037,4348068242.195123,5611496257.142313,7184685781.518761,8052073539.380576,8896072918.981401,10677324144.428877,12881353507.853903,12044208085.864004,11926922828.991106,12890764531.328362,12319830437.346674,12776220507.016235,13228147516.116798,11386850129.841055,11861199830.83956,13019689336.691856,15156432309.897657,15401830754.077347,15131866270.593649
7,Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1429049198.4521837,1546926174.4966445,1755910031.9969885,2361726862.3024826,2894921777.99851,3159905484.3924885,3456442102.6220045,3952600602.24473,4085630584.444119,3674409558.210614,3449925738.860686,3629133574.2778273,3188652765.361844,3193512950.024186,3271685596.6632113,2789881258.503616,2896610479.7307653,3000162081.1197567,3218419896.9641023,3155149347.806392,2891001149.361105
8,Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,816022345748.3093,798508872207.506,803126104894.899,887856220506.3312,1056250800483.7137,1297897997606.5193,1538296658886.7266,1790043618080.7668,2253740516075.541,1978805212789.6292,2327010098167.455,2547958055744.5825,2778076501107.1313,2834607141427.392,2876010443891.523,2518700620586.2666,2495864756764.428,2584096654452.217,2785878075917.0317,2808099764578.028,2496251185652.4204
9,United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,104337372362.15112,103311640571.81757,109816201497.61743,124346358066.71205,147824370319.94556,180617467964.60178,222116541865.21445,257916133424.09802,315474615738.5977,253547358747.44727,289787452661.5113,350666058392.1716,374590657683.2512,390107528483.05786,403137207534.97076,358134944420.5037,357045156018.55963,385605506854.8809,422215043584.9694,417215559513.36426,358868765174.92444
